b3437,GLUCONOKINII-MONOMER
b3542,DPPC-MONOMER
b3427,G7752-MONOMER
b0246,G6121-MONOMER
b2059,G7104-MONOMER
b4380,EG12171-MONOMER
b4100,EG10717-MONOMER
b1302,G6646-MONOMER
b2283,NUOG-MONOMER
b4461,G7356-MONOMER
b1843,G7015-MONOMER
b2027,G7090-MONOMER
b0700,EG10848-MONOMER
b0582,MONOMER0-4232
b2851,G7471-MONOMER
b2085,G7122-MONOMER
b1750,G6945-MONOMER
b3236,MALATE-DEHASE-MONOMER
b4253,G7884-MONOMER
b0837,G6437-MONOMER
b3714,EG11724-MONOMER
b2307,HISM-MONOMER
b2793,G7451-MONOMER
b1363,TRKG-MONOMER
b1062,DIHYDROOROT-MONOMER
b0001,EG11277-MONOMER
b0463,EG11703-MONOMER
b1198,EG12399-MONOMER
b3075,PD03254
b2142,EG12024-MONOMER
b2467,EG12410-MONOMER
b0241,MONOMER0-282
b3202,RPON-MONOMER
b2155,EG10155-MONOMER
b2674,G7402-MONOMER
b0979,APPB-MONOMER
b0550,G6306-MONOMER
b2763,BETACOMP-MONOMER
b1179,G6616-MONOMER
b0153,FHUB-MONOMER
b0257,G6132-MONOMER
b0424,HMP-KIN-MONOMER
b4121,G7825-MONOMER
b2606,EG10880-MONOMER
b0267,EG12338-MONOMER
b4023,EG11922-MONOMER
b0493,G6269-MONOMER
b4249,G7880-MONOMER
b1526,G6812-MONOMER
b0472,EG10834-MONOMER
b0497,EG10849-MONOMER
b3778,EG10837-MONOMER
b2427,G7262-MONOMER
b3804,UROGENIIISYN-MONOMER
b2257,G7170-MONOMER
b0278,G6149-MONOMER
b0666,metU-tRNA
b2506,G7317-MONOMER
b4161,G7841-MONOMER
b0787,G6404-MONOMER
b1946,FLIN-FLAGELLAR-C-RING-SWITCH
b0198,METI-MONOMER
b4032,MALG-MONOMER
b2746,EG11816-MONOMER
b2090,PD00338
b1579,G6837-MONOMER
b3400,G7743-MONOMER
b3921,EG11875-MONOMER
b2676,NRDF-MONOMER
b3340,EG10360-MONOMER
b0886,CYDC-MONOMER
b3671,LARGEILVB-MONOMER
b0034,G6088-MONOMER
b0112,AROP-MONOMER
b0619,G6345-MONOMER
b4206,G7864-MONOMER
b2981,G7547-MONOMER
b4148,SUGE-MONOMER
b1588,G6846-MONOMER
b0883,serW-tRNA
b3235,EG11652-MONOMER
b2578,EG12445-MONOMER
b3390,AROK-MONOMER
b1152,G6596-MONOMER
b2050,EG11790-MONOMER
b3644,EG11192-MONOMER
b4501,MONOMER0-1641
b3304,EG10879-MONOMER
b0489,G6265-MONOMER
b1589,G6847-MONOMER
b0009,EG11511-MONOMER
b2711,EG12450-MONOMER
b0339,CARBODEHYDRAT-MONOMER
b1854,PKII-MONOMER
b0640,EG11412-MONOMER
b3889,EG11854-MONOMER
b0157,EG12333-MONOMER
b0611,EG10856-MONOMER
b1633,EG10662-MONOMER
b2251,G7164-MONOMER
b3568,XYLH-MONOMER
b0546,G6302-MONOMER
b1809,G6993-MONOMER
b0849,RED-GLUTAREDOXIN
b1656,SUPEROX-DISMUTFE-MONOMER
b3780,EG10844-MONOMER
b1113,G6571-MONOMER
b2950,G7526-MONOMER
b1219,EG12404-MONOMER
b4390,PD04413
b1657,B1657-MONOMER
b3727,PSTC-MONOMER
b0154,GSAAMINOTRANS-MONOMER
b3708,TRYPTOPHAN-MONOMER
b2947,GLUTATHIONE-SYN-MONOMER
