b3437,GLUCONOKINII-MONOMER
b0842,CMR-MONOMER
b3257,G7693-MONOMER
b0590,FEPD-MONOMER
b3761,trpT-tRNA
b1083,EG11545-MONOMER
b1461,EG11761-MONOMER
b0901,EG12702-MONOMER
b4190,G7853-MONOMER
b3343,G7712-MONOMER
b4195,YJFU-MONOMER
b3014,G7567-MONOMER
b2678,PROW-MONOMER
b3674,EG11694-MONOMER
b3891,EG10284-MONOMER
b2615,MONOMER0-541
b3319,EG10867-MONOMER
b1813,EG12693-MONOMER
b1794,G6980-MONOMER
b2945,EG11336-MONOMER
b2561,EG12308-MONOMER
b1576,EG11303-MONOMER
b2193,NARP-MONOMER
b3926,GLYCEROL-KIN-MONOMER
b0019,NHAA-MONOMER
b1229,EG11016-MONOMER
b1216,CHAA-MONOMER
b3960,ARGSUCCINLYA-MONOMER
b4506,MONOMER0-2656
b4178,EG11212-MONOMER
b0098,SECA
b1194,G6623-MONOMER
b3846,FADB-MONOMER
b1547,G6821-MONOMER
b2934,CMTB-MONOMER
b0124,GLUCDEHYDROG-MONOMER
b0628,EG11306-MONOMER
b3860,DISULFOXRED-MONOMER
b3980,EG11037-MONOMER
b1450,G6761-MONOMER
b3066,EG10239-MONOMER
b4677,MONOMER0-2871
b2799,LACTALDREDUCT-MONOMER
b2607,EG11023-MONOMER
b0554,G6309-MONOMER
b4156,YJEM-MONOMER
b1186,NHAB-MONOMER
b0551,G6307-MONOMER
b3669,UHPA-MONOMER
b1029,G6536-MONOMER
b0922,EG12165-MONOMER
b4109,EG11210-MONOMER
b3548,EG12269-MONOMER
b0152,FHUD-MONOMER
b3868,PROTEIN-NRI
b2721,HYCELARGE-MONOMER
b1353,EG12154-MONOMER
b1929,EG11660-MONOMER
b2289,EG12123-MONOMER
b0614,G6340-MONOMER
b4389,EG11296-MONOMER
b2666,G7396-MONOMER
b1380,DLACTDEHYDROGNAD-MONOMER
b3806,ADENYLATECYC-MONOMER
b4295,G7909-MONOMER
b0815,G6418-MONOMER
b3530,EG12257-MONOMER
b3898,EG11862-MONOMER
b3229,EG10977-MONOMER
b1972,G7060-MONOMER
b3535,EG12262-MONOMER
b1990,G7073-MONOMER
b3833,2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER
b1875,G7025-MONOMER
b4164,glyX-tRNA
b1761,GDHA-MONOMER
b3264,EG11741-MONOMER
b0532,G6292-MONOMER
b1856,EG10013-MONOMER
b3634,PANTEPADENYLYLTRAN-MONOMER
b1252,EG11012-MONOMER
b2573,RPOE-MONOMER
b0336,CODB-MONOMER
b1290,SAPF-MONOMER
b3207,G7667-MONOMER
b0721,SDH-MEMB1
b1534,YDEF-MONOMER
b3101,G7615-MONOMER
b2671,EG12201-MONOMER
b0588,FEPC-MONOMER
b4143,EG10599-MONOMER
b1564,EG10836-MONOMER
b1040,PD01379
b0535,EG11103-MONOMER
b1372,G6695-MONOMER
b3397,G7740-MONOMER
b2183,EG12044-MONOMER
b0110,EG10041-MONOMER
b2904,GCVH-MONOMER
b1988,G7072-MONOMER
b0507,GLYOCARBOLIG-MONOMER
b3909,KDGT-MONOMER
b0209,EG11650-MONOMER
b1253,EG11121-MONOMER
b0387,G6230-MONOMER
b2452,G7282-MONOMER
b1752,G6947-MONOMER
b0730,PD01103
b1325,G6661-MONOMER
b4310,G7920-MONOMER
b2760,G7430-MONOMER
b3526,DEOXYGLUCONOKIN-MONOMER
b0571,G6319-MONOMER
b4198,G7860-MONOMER
b0263,G6137-MONOMER
b1890,MOTA-FLAGELLAR-MOTOR-STATOR-PROTEIN
b0013,G8202-MONOMER
b0851,EG11261-MONOMER
b0441,G6242-MONOMER
b2317,EG10216-MONOMER
b2454,G7284-MONOMER
b0002,ASPKINIHOMOSERDEHYDROGI-MONOMER
b4117,ARGDECARBOXDEG-MONOMER
b3169,EG10665-MONOMER
b0528,EG12879-MONOMER
b3529,EG12256-MONOMER
b1730,G6935-MONOMER
b0739,EG11007-MONOMER
b1777,G6964-MONOMER
b1458,G6767-MONOMER
b1054,LAUROYLACYLTRAN-MONOMER
b1433,B1433-MONOMER
b3808,G7802-MONOMER
b2182,BCR-MONOMER
b4129,LYSU-MONOMER
b4242,MGTA-MONOMER
b4674,MONOMER0-2873
b1250,KCH-MONOMER
b2825,EG11156-MONOMER
b1915,EG12861-MONOMER
b4454,RDLD-RNA
b3581,EG12285-MONOMER
b0293,G6164-MONOMER
b1711,BTUC-MONOMER
b3852,ileT-tRNA
b3347,G7716-MONOMER
b3328,G7706-MONOMER
b1370,G6693-MONOMER
b2163,EG12031-MONOMER
b3820,EG11467-MONOMER
b0997,TORA-MONOMER
b3953,EG11912-MONOMER
b2187,EG12043-MONOMER
b1876,ARGS-MONOMER
b0442,G6243-MONOMER
b1556,G6829-MONOMER
b4588,MONOMER0-2813
b2095,G7128-MONOMER
b2539,HCAA2-MONOMER
b1256,EG11124-MONOMER
b0650,G6357-MONOMER
b4013,HOMSUCTRAN-MONOMER
b1074,FLGC-FLAGELLAR-MOTOR-ROD-PROTEIN
b1247,OPPF-MONOMER
b0661,G6364-MONOMER
b4514,MONOMER0-2662
b0662,OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-MON
b3277,ileU-tRNA
b0877,G6460-MONOMER
b1795,G6981-MONOMER
b0036,CARNRACE-MONOMER
b0834,G6434-MONOMER
b2349,G7218-MONOMER
b0094,EG10339-MONOMER
b4160,PSD-MONOMER
b0399,PHOB-MONOMER
b0426,G6240-MONOMER
b3754,YIEO-MONOMER
b2768,G7434-MONOMER
b2925,FRUCTBISALD-CLASSII-MONOMER
b0428,HEMEOSYN-MONOMER
b3514,YHIV-MONOMER
b4246,EG11279-MONOMER
b4412,MONOMER0-1564
b1382,G6704-MONOMER
b0555,G6310-MONOMER
b4601,MONOMER0-2821
b0644,G6351-MONOMER
b2893,DSBC-MONOMER
b0659,G6362-MONOMER
b2286,NUOC-MONOMER
b1386,AMINEOXID-MONOMER
b2879,G7498-MONOMER
b3597,EG11764-MONOMER
b1125,POTB-MONOMER
b3726,PSTA-MONOMER
b1836,G7009-MONOMER
b1171,G6611-MONOMER
b3370,YHFM-MONOMER
b0933,YCBE-MONOMER
b2593,EG12097-MONOMER
b2463,MALIC-NADP-MONOMER
b2775,B2775-MONOMER
b2580,EG11058-MONOMER
b2572,EG12341-MONOMER
b4305,SGCB-MONOMER
b0533,G6293-MONOMER
b3442,G7759-MONOMER
b3230,EG10908-MONOMER
b0014,EG10241-MONOMER
b1613,MANNPISOM-MONOMER
b4271,EG12364-MONOMER
b1276,ACONITASE-MONOMER
b2641,G7376-MONOMER
b2525,FERREDOXIN-MONOMER
b1220,EG12405-MONOMER
b1146,G6590-MONOMER
b2605,EG11152-MONOMER
b0976,EG10472-MONOMER
b2975,B2975-MONOMER
b2706,PD00345
b0858,G6448-MONOMER
b1045,G6550-MONOMER
b1182,G6619-MONOMER
b4094,EG10723-MONOMER
b4092,EG10725-MONOMER
b1982,AMP-NUCLEOSID-MONOMER
b0051,EG10523-MONOMER
b1286,EG11620-MONOMER
b1652,EG11547-MONOMER
b0889,PD00353
b2270,G7177-MONOMER
b3153,G7647-MONOMER
b2133,DLACTDEHYDROGFAD-MONOMER
b2067,EG12396-MONOMER
b1248,G6633-MONOMER
b3067,RPOD-MONOMER
b2158,EG12027-MONOMER
b0107,EG12106-MONOMER
b2023,GLUTAMIDOTRANS-MONOMER
b3562,EG11186-MONOMER
b2229,G7156-MONOMER
b4699,RNA0-349
b1399,G6720-MONOMER
b3907,RHAT-MONOMER
b3351,G7717-MONOMER
b0460,EG10439-MONOMER
b3405,OMPR-MONOMER
b3374,G7726-MONOMER
b0121,SPERMIDINESYN-MONOMER
b3600,MANNPDEHYDROG-MONOMER
b4123,DCUB-MONOMER
b1816,G6997-MONOMER
b3179,EG11507-MONOMER
b4284,MONOMER0-4233
b2707,PD00283
b0114,E1P-MONOMER
b0962,EG10426-MONOMER
b4544,MONOMER0-2682
b1442,YDCU-MONOMER
b3185,EG50002-MONOMER
b3145,G7640-MONOMER
b4252,G7883-MONOMER
b1687,G6913-MONOMER
b1509,G6797-MONOMER
b0561,G6315-MONOMER
b0778,DETHIOBIOTIN-SYN-MONOMER
b1926,EG11389-MONOMER
b3651,EG10967-MONOMER
b0063,RIBULOKIN-MONOMER
b1817,MANX-MONOMER
b3750,RBSC-MONOMER
b3334,EG12173-MONOMER
b3613,EG12297-MONOMER
b1393,G6714-MONOMER
b2690,G7408-MONOMER
b4612,MONOMER0-2826
b2513,G7321-MONOMER
b0239,EG11091-MONOMER
b4224,EG11250-MONOMER
b1492,XASA-MONOMER
b1347,EG11901-MONOMER
b2668,G7398-MONOMER
b1358,G6682-MONOMER
b3646,EG11683-MONOMER
b4219,EG11433-MONOMER
b0559,G6314-MONOMER
b0413,EG11320-MONOMER
b0475,PROTOHEME-FERROCHELAT-MONOMER
b0964,G6498-MONOMER
b0484,G6260-MONOMER
b0971,serT-tRNA
b0199,ABC-MONOMER
b2726,EG10483-MONOMER
b3659,B3659-MONOMER
b0784,EG11597-MONOMER
b0506,G6276-MONOMER
b2780,CTPSYN-MONOMER
b2373,G7236-MONOMER
b4051,QOR-MONOMER
b2910,EG12878-MONOMER
b1523,G6809-MONOMER
b1036,G6542-MONOMER
b1497,G6787-MONOMER
b1087,EG11438-MONOMER
b3262,EG11498-MONOMER
b1585,G6843-MONOMER
b2705,SORB6PDEHYDROG-MONOMER
b1846,EG11806-MONOMER
b4041,GLYCEROL-3-P-ACYLTRANSFER-MONOMER
b4443,GCVB-RNA
b3487,EG12224-MONOMER
b0557,G6312-MONOMER
b3569,EG20253-MONOMER
b4675,MONOMER0-2875
b4167,EG11758-MONOMER
b1318,YCJV-MONOMER
b3218,MONOMER0-4240
b2628,G7363-MONOMER
b1575,EG10227-MONOMER
b1397,G6718-MONOMER
b4077,GLTP-MONOMER
b1478,ADHP-MONOMER
b0041,EG11562-MONOMER
b4431,RPRA-RNA
b3923,EG11877-MONOMER
b4662,MONOMER0-2842
b0871,PYRUVOXID-MONOMER
b1268,G6636-MONOMER
b4558,MONOMER0-2693
b4261,G7888-MONOMER
b0048,DIHYDROFOLATEREDUCT-MONOMER
b2921,G7518-MONOMER
b1781,G6967-MONOMER
b0695,KDPD-MONOMER
b2865,G7484-MONOMER
b2665,G7395-MONOMER
b3577,MONOMER0-422
b0480,USHA-MONOMER
b2003,G7083-MONOMER
b3547,YHJX-MONOMER
b4227,YTFQ-MONOMER
b0473,EG10461-MONOMER
b3483,EG11520-MONOMER
b3133,G7632-MONOMER
b2935,TRANSKETOI-MONOMER
b2362,G7231-MONOMER
b4546,MONOMER0-2684
b0523,PURE-MONOMER
b4166,G7843-MONOMER
b3951,EG11910-MONOMER
b0810,GLNP-MONOMER
b3785,EG11295-MONOMER
b4118,PD00208
b0653,GLTK-MONOMER
b0812,EG11415-MONOMER
b2782,EG11249-MONOMER
b3683,GLVC-MONOMER
b3793,FUC4NACTRANS-MONOMER
b3574,EG12278-MONOMER
b1528,YDEA-MONOMER
b1267,G6635-MONOMER
b3735,ATPH-MONOMER
b3124,GKI-MONOMER
b0440,EG10467-MONOMER
b3174,leuU-tRNA
b3398,G7741-MONOMER
b0716,G6385-MONOMER
b1124,POTC-MONOMER
b4475,G7750-MONOMER
b0709,B0709-MONOMER
b2823,EG11154-MONOMER
b3046,G7585-MONOMER
b2312,PRPPAMIDOTRANS-MONOMER
b2886,G7505-MONOMER
b0283,G6154-MONOMER
b0772,EG12875-MONOMER
b1944,EG10322-MONOMER
b1143,G6587-MONOMER
b2565,EG10832-MONOMER
b3020,YGIS-MONOMER
b3686,EG11535-MONOMER
b2203,NAPB-MONOMER
b3434,G7753-MONOMER
b1155,G6598-MONOMER
b3587,EG12291-MONOMER
b0408,SECD
b4511,MONOMER0-2659
b2956,EG12704-MONOMER
b2020,HISTDEHYD-MONOMER
b2965,ORNDECARBOX-BIO-MONOMER
b3170,EG11179-MONOMER
b3983,EG10872-MONOMER
b3884,EG11849-MONOMER
b2275,G7182-MONOMER
b2971,G7538-MONOMER
b3723,EG10116-MONOMER
b4436,RYEC-RNA
b3243,G7688-MONOMER
b3378,G7730-MONOMER
b2016,G7089-MONOMER
b2783,EG10571-MONOMER
b2049,MANNPGUANYLTRANGDP-MONOMER
b2663,GABP-MONOMER
b1431,G6742-MONOMER
b0670,glnU-tRNA
b3657,YICJ-MONOMER
b3515,EG12242-MONOMER
b0799,EG11357-MONOMER
b0086,UDP-NACMURALGLDAPAALIG-MONOMER
b4375,EG12114-MONOMER
b2686,EMRB-MONOMER
b0531,G6291-MONOMER
b2650,G7385-MONOMER
b1365,G6688-MONOMER
b4356,YJIZ-MONOMER
b2382,G7245-MONOMER
b0839,EG10203-MONOMER
b4011,EG11206-MONOMER
b2741,RPOS-MONOMER
b3089,YGJU-MONOMER
b3344,G7713-MONOMER
b3916,6PFK-1-MONOMER
b3912,CPXR-MONOMER
b3517,GLUTDECARBOXA-MONOMER
b2368,G7233-MONOMER
b0314,BETT-MONOMER
b0217,G6101-MONOMER
b2873,G7492-MONOMER
b3362,EG12374-MONOMER
b4046,EG11929-MONOMER
b3003,EG11292-MONOMER
b2876,G7495-MONOMER
b4316,EG10310-MONOMER
b3653,GLTS-MONOMER
b3403,PEPCARBOXYKIN-MONOMER
b2104,THZ-KIN-MONOMER
b0039,CROBETREDUCT-MONOMER
b3560,GLYQ-MONOMER
b1924,EG10841-MONOMER
b1614,G6865-MONOMER
b2252,G7165-MONOMER
b2451,G7281-MONOMER
b0825,G6428-MONOMER
b1260,TRYPSYN-APROTEIN
b0850,EG12842-MONOMER
b3339,EG11036-MONOMER
b4170,EG11281-MONOMER
b3238,G7683-MONOMER
b0936,G6478-MONOMER
b1251,EG11607-MONOMER
b1404,G6725-MONOMER
b2957,ANSB-MONOMER
b3287,EG11440-MONOMER
b3049,EG11381-MONOMER
b1084,EG10859-MONOMER
b4504,MONOMER0-2654
b3752,RIBOKIN-MONOMER
b0323,G6188-MONOMER
b1956,G7049-MONOMER
b0536,argU-tRNA
b1137,G6582-MONOMER
b2926,PGK
b1546,G6820-MONOMER
b4345,EG10575-MONOMER
b1103,EG12172-MONOMER
b0446,G6246-MONOMER
b3260,EG11311-MONOMER
b1831,EG12866-MONOMER
b3954,EG11913-MONOMER
b2699,EG10823-MONOMER
b2035,EG11982-MONOMER
b1524,G6810-MONOMER
b3418,PD00237
b3527,EG12254-MONOMER
b3382,G7734-MONOMER
b0179,UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-MONO
b2685,EG11354-MONOMER
b2531,G7326-MONOMER
b2230,EG11142-MONOMER
b3861,EG11832-MONOMER
b3524,EG12251-MONOMER
b1896,TREHALOSE6PSYN-MONOMER
b3163,EG12371-MONOMER
b4666,MONOMER0-2855
b1555,G6828-MONOMER
b2388,GLUCOKIN-MONOMER
b3040,EG11167-MONOMER
b3388,EG11183-MONOMER
b1713,PHET-MONOMER
b1313,G6651-MONOMER
b3018,1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER
b1147,G6591-MONOMER
b0738,EG11011-MONOMER
b1269,EG12433-MONOMER
b3949,FRWC-MONOMER
b0368,MONOMER0-147
b4029,EG11926-MONOMER
b2905,GCVT-MONOMER
b2127,EG12008-MONOMER
b1002,GLUCOSE-1-PHOSPHAT-MONOMER
b3126,KDGALDOL-MONOMER
b1244,OPPB-MONOMER
b1602,PNTB-MONOMER
b4512,MONOMER0-2660
b0658,G6361-MONOMER
b3057,EG11665-MONOMER
b3271,YHDZ-MONOMER
b2717,G7414-MONOMER
b2126,EG12007-MONOMER
b0436,EG11003-MONOMER
b0586,ENTF-MONOMER
b1837,G7010-MONOMER
b1623,ADENODEAMIN-MONOMER
b1997,MONOMER0-4251
b1870,G7020-MONOMER
b2459,G7289-MONOMER
b3685,EG11536-MONOMER
b1285,G6639-MONOMER
b2184,EG12045-MONOMER
b1857,ZNUA-MONOMER
b0142,H2PTERIDINEPYROPHOSPHOKIN-MONOMER
b0159,EG11090-MONOMER
b3828,PD03938
b2898,G7511-MONOMER
b4165,glyY-tRNA
b4015,ISOCIT-LYASE-MONOMER
b1346,G6677-MONOMER
b2284,NUOF-MONOMER
b0330,G6195-MONOMER
b1920,G7039-MONOMER
b1381,G6703-MONOMER
b0398,EG11094-MONOMER
b2767,G7433-MONOMER
b0338,PD00291
b1327,G6663-MONOMER
b1627,G6871-MONOMER
b2159,EG10651-MONOMER
b3092,UXAC-MONOMER
b3854,RRLA-RRNA
b4610,MONOMER0-2825
b3146,G7641-MONOMER
b0103,EG12312-MONOMER
b4111,PROP-MONOMER
b0846,G6444-MONOMER
b3824,RHTB-MONOMER
b1938,FLIF-FLAGELLAR-MS-RING
b0904,FOCA-MONOMER
b1549,G6822-MONOMER
b2747,G7423-MONOMER
b3701,EG10242-MONOMER
b0978,APPC-MONOMER
b2774,G7440-MONOMER
b3870,GLUTAMINESYN-MONOMER
b1649,G6889-MONOMER
b2455,G7285-MONOMER
b1931,EG11662-MONOMER
b1584,SPERMACTRAN-MONOMER
b4391,YJJK-MONOMER
b4522,MONOMER0-2885
b1483,YDDO-MONOMER
b0527,EG12708-MONOMER
b1271,EG11759-MONOMER
b4270,leuX-tRNA
b0351,MHPF-MONOMER
b3072,G7595-MONOMER
b2471,EG11147-MONOMER
b3278,RRSD-RRNA
b4009,RRLE-RRNA
b0961,G6496-MONOMER
b2520,G7323-MONOMER
b3945,GLYCDEH-MONOMER
b0829,YLIA-MONOMER
b0870,LTAA-MONOMER
b1495,EG11743-MONOMER
b1862,EG11136-MONOMER
b3797,hisR-tRNA
b1601,G6859-MONOMER
b3799,proM-tRNA
b1832,G7005-MONOMER
b2809,G7453-MONOMER
b1894,MONOMER0-4225
b3321,EG10909-MONOMER
b1046,G6551-MONOMER
b4152,FUM-MEMB1
b2636,G7371-MONOMER
b3384,TRPS-MONOMER
b2181,EG12042-MONOMER
b2329,AROC-MONOMER
b1121,G6578-MONOMER
b1245,OPPC-MONOMER
b4705,MONOMER0-4216
b1755,YNJC-MONOMER
b2276,NUON-MONOMER
b0352,MHPELY-MONOMER
b0931,NICOTINATEPRIBOSYLTRANS-MONOMER
b2944,EG12122-MONOMER
b0899,YCAM
b1232,FORMYLTHFDEFORMYL-MONOMER
b2595,G7352-MONOMER
b1231,tyrT-tRNA
b3795,YIFK-MONOMER
b1126,POTA-MONOMER
b2071,G7110-MONOMER
b1801,YEAV-MONOMER
b0720,CITSYN-MONOMER
b0685,EG11775-MONOMER
b0768,G6398-MONOMER
b2759,G7429-MONOMER
b3700,EG10828-MONOMER
b3707,EG11276-MONOMER
b3728,PSTS-MONOMER
b0708,EG10736-MONOMER
b3943,EG11902-MONOMER
b0465,G6255-MONOMER
b2550,G7344-MONOMER
b1488,G6782-MONOMER
b2103,HMP-P-KIN-MONOMER
b1012,G6523-MONOMER
b3734,ATPA-MONOMER
b0719,EG12359-MONOMER
b1312,YCJP-MONOMER
b0774,DAPASYN-MONOMER
b0046,EG11568-MONOMER
b0375,G6226-MONOMER
b1133,EG11344-MONOMER
b2248,G7161-MONOMER
b4079,FORMATEDEHYDROGH-MONOMER
b1142,G6586-MONOMER
b1672,G6900-MONOMER
b0830,YLIB-MONOMER
b0023,EG10919-MONOMER
b3552,EG12271-MONOMER
b4251,G7882-MONOMER
b0797,EG11235-MONOMER
b2498,URACIL-PRIBOSYLTRANS-MONOMER
b1200,G6627-MONOMER
b3851,RRSA-RRNA
b4616,RNA0-281
b2223,EG11671-MONOMER
b2028,UGD-MONOMER
b3446,G7763-MONOMER
b3617,AKBLIG-MONOMER
b4082,EG11954-MONOMER
b3417,MALDEXPHOSPHORYL-MONOMER
b0735,EG12395-MONOMER
b3623,EG11423-MONOMER
b3091,ALTRODEHYDRAT-MONOMER
b3642,OROPRIBTRANS-MONOMER
b1753,G6948-MONOMER
b3364,YHFC-MONOMER
b3733,ATPG-MONOMER
b0600,G6329-MONOMER
b4088,YJCX-MONOMER
b1117,YCFV-MONOMER
b3310,EG10875-MONOMER
b4175,EG10435-MONOMER
b3821,MONOMER0-341
b2461,G7291-MONOMER
b2151,PD00261
b3471,EG12217-MONOMER
b1906,G7036-MONOMER
b1024,G6531-MONOMER
b1369,G6692-MONOMER
b4266,GLUCONREDUCT-MONOMER
b2577,EG11785-MONOMER
b1331,MONOMER0-4236
b1891,MONOMER0-2488
b4408,CSRB-RNA
b2938,ARGDECARBOXBIO-MONOMER
b2074,MDTA
b3365,NIRB-MONOMER
b2614,EG10416-MONOMER
b0391,EG12159-MONOMER
b3621,EG11189-MONOMER
b4435,IS102-RNA
b4423,MONOMER0-1603
b4237,RNTRACTIV-MONOMER
b2043,G7094-MONOMER
b4289,FECC-MONOMER
b4274,G7896-MONOMER
b0093,EG10342-MONOMER
b3024,G7574-MONOMER
b0565,EG10673-MONOMER
b3147,G7642-MONOMER
b0327,G6192-MONOMER
b3189,UDPNACETYLGLUCOSAMENOLPYRTRANS-MONOMER
b3383,G7735-MONOMER
b1266,G6634-MONOMER
b0879,MACB
b0284,G6155-MONOMER
b2005,G7085-MONOMER
b2984,G7550-MONOMER
b3064,EG11171-MONOMER
b1621,MALX-MONOMER
b2640,G7375-MONOMER
b3460,LIVJ-MONOMER
b4473,EG11604-MONOMER
b1164,G6604-MONOMER
b1223,NARK-MONOMER
b2295,G7189-MONOMER
b1763,EG11014-MONOMER
b2787,GLUCARDEHYDRA-MONOMER
b1665,valV-tRNA
b1984,RNA0-304
b0710,G6379-MONOMER
b2626,G7361-MONOMER
b0350,MHPDHYDROL-MONOMER
b3599,MTLA-MONOMER
b0822,G6425-MONOMER
b2207,NAPD-MONOMER
b0613,G6339-MONOMER
b1815,G6996-MONOMER
b3862,EG11833-MONOMER
b2221,ATOD-MONOMER
b0069,EG12094-MONOMER
b0887,CYDD-MONOMER
b0884,EG10504-MONOMER
b3048,G7587-MONOMER
b2037,RFBX-MONOMER
b4331,G7928-MONOMER
b2232,DHHB-METHYLTRANSFER-MONOMER
b0268,G6140-MONOMER
b2803,FUCULOKIN-MONOMER
b1513,YDEX-MONOMER
b1086,EG11118-MONOMER
b0455,FFS-RNA
b4586,MONOMER0-2812
b1129,PHOQ-MONOMER
b0740,EG11008-MONOMER
b2128,YEHW-MONOMER
b1985,YEEO-MONOMER
b2242,ANGLYC3PDEHYDROGSUBUNITB-MONOMER
b1145,G6589-MONOMER
b0018,EG10373-MONOMER
b3888,EG11853-MONOMER
b4683,MONOMER0-2877
b3834,EG11474-MONOMER
b0953,EG50004-MONOMER
b0104,GMP-REDUCT-MONOMER
b2643,G7378-MONOMER
b3198,G7663-MONOMER
b3081,DIENOYLCOAREDUCT-MONOMER
b1057,G6554-MONOMER
b4097,PHNK-MONOMER
b2532,G7327-MONOMER
b3968,RRSB-RRNA
b1418,CYTOCHROME-B561-MONOMER
b3716,EG11726-MONOMER
b3011,G7564-MONOMER
b3129,EG10955-MONOMER
b0896,DMSC-MONOMER
b3874,YIHN-MONOMER
b3722,BGLF-MONOMER
b0514,GLY3KIN-MONOMER
b0197,METQ-MONOMER
b2442,G7272-MONOMER
b2538,PHENYLPRODIOXY-MONOMER
b3788,DTDPGLUCDEHYDRAT2-MONOMER
b1867,EG12378-MONOMER
b2004,G7084-MONOMER
b3433,ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER
b2434,G7269-MONOMER
b3616,THREODEHYD-MONOMER
b1094,EG50003-MONOMER
b0138,EG12327-MONOMER
b4437,RYED-RNA
b0574,G6322-MONOMER
b3474,EG12220-MONOMER
b4255,G7885-MONOMER
b3098,G7612-MONOMER
b1385,PHENDEHYD-MONOMER
b4017,EG11208-MONOMER
b3576,EG12280-MONOMER
b3032,G7579-MONOMER
b0610,G6337-MONOMER
b0135,EG11678-MONOMER
b3401,G7744-MONOMER
b4185,G7850-MONOMER
b0177,G6093-MONOMER
b3269,YHDX-MONOMER
b2474,G7297-MONOMER
b1494,EG11744-MONOMER
b3475,EG12221-MONOMER
b3915,YIIP-MONOMER
b1004,PD01343
b1821,G6999-MONOMER
b1018,G6527-MONOMER
b0249,G6124-MONOMER
b1477,G6774-MONOMER
b1099,EG11500-MONOMER
b3784,GLCNACPTRANS-MONOMER
b1158,EG10737-MONOMER
b0279,G6150-MONOMER
b0156,EG12332-MONOMER
b2941,G7523-MONOMER
b1731,G6936-MONOMER
b4290,FECB-MONOMER
b2821,EG10786-MONOMER
b3414,G7748-MONOMER
b3479,NIKD-MONOMER
b1148,G6592-MONOMER
b3115,PROPKIN-MONOMER
b3826,EG11470-MONOMER
b2985,G7551-MONOMER
b2122,EG12003-MONOMER
b0129,AGAX-MONOMER
b2584,G7350-MONOMER
b0993,TORS-MONOMER
b1632,G6876-MONOMER
b0652,GLTL-MONOMER
b0276,G6147-MONOMER
b3231,EG10874-MONOMER
b3258,PANF-MONOMER
b0479,FSR-MONOMER
b0643,EG12851-MONOMER
b1987,G7071-MONOMER
b3594,EG11187-MONOMER
b1328,G6664-MONOMER
b3635,EG10329-MONOMER
b2998,G7555-MONOMER
b4312,EG10309-MONOMER
b4559,MONOMER0-2694
b3402,G7745-MONOMER
b0054,EG11569-MONOMER
b3168,EG10505-MONOMER
b4702,MONOMER0-4201
b1900,ARAG-MONOMER
b0794,YBHF-MONOMER
b1413,G6732-MONOMER
b3377,G7729-MONOMER
b0256,G6131-MONOMER
b1259,EG11127-MONOMER
b2462,G7292-MONOMER
b1309,G6647-MONOMER
b0995,TORR-MONOMER
b4515,MONOMER0-2663
b4520,MONOMER0-2141
b0983,G6504-MONOMER
b1939,FLIG-FLAGELLAR-SWITCH-PROTEIN
b0560,EG11635-MONOMER
b3242,G7687-MONOMER
b3298,EG10912-MONOMER
b0294,G6165-MONOMER
b4127,G7829-MONOMER
b0349,MHPCHYDROL-MONOMER
b2406,XAPB-MONOMER
b3027,G7577-MONOMER
b2937,AGMATIN-MONOMER
b3009,EG11824-MONOMER
b1465,NARV-MONOMER
b4539,MONOMER0-1041
b0872,G6456-MONOMER
b1095,3-OXOACYL-ACP-SYNTHII-MONOMER
b0562,G6316-MONOMER
b2982,MONOMER0-4239
b1033,G6539-MONOMER
b0452,THIOESTERII-MONOMER
b0804,G6413-MONOMER
b2381,G7244-MONOMER
b4026,EG11923-MONOMER
b0194,PROS-MONOMER
b1366,G6689-MONOMER
b2943,GALP-MONOMER
b1042,EG11489-MONOMER
b0337,CYTDEAM-MONOMER
b0184,EG10238-MONOMER
b3684,EG11711-MONOMER
b2868,G7487-MONOMER
b2088,MONOMER0-4245
b3209,EG11383-MONOMER
b1373,G6696-MONOMER
b2602,EG12446-MONOMER
b0592,FEPB-MONOMER
b2878,G7497-MONOMER
b4565,MONOMER0-2121
b1887,CHEW-MONOMER
b0677,NAG6PDEACET-MONOMER
b0929,EG10671-MONOMER
b2508,IMP-DEHYDROG-MONOMER
b3859,EG11831-MONOMER
b4365,G7947-MONOMER
b3200,YHBN-MONOMER
b0974,HYAC-MONOMER
b1902,G7033-MONOMER
b2695,serV-tRNA
b0362,G6214-MONOMER
b2581,EG11786-MONOMER
b0732,EG13236-MONOMER
b0448,MDLA-MONOMER
b0897,EG11241-MONOMER
b2338,G7209-MONOMER
b1539,EG12345-MONOMER
b3794,UDPMANACATRANS-MONOMER
b4594,MONOMER0-2819
b0231,G6115-MONOMER
b4340,G7936-MONOMER
b2664,EG12386-MONOMER
b3689,EG11713-MONOMER
b2429,MONOMER0-5
b3610,GRXC-MONOMER
b2301,G7193-MONOMER
b3380,G7732-MONOMER
b2475,G7298-MONOMER
b0599,EG12692-MONOMER
b2680,YGAY-MONOMER
b1295,G6642-MONOMER
b1644,G6884-MONOMER
b3338,EG11237-MONOMER
b2529,G7324-MONOMER
b1441,YDCT-MONOMER
